"","samp_id","meas_yr","Age","LateSuc_sp","Species_Div","MaxHgt","Special_Att","MaxDBH","DBH_CV","Hght_CV","DeadFallen_bio","DeadStand_bio","Live_bio","LargeTreesDen","TreeDen","CExyz","CVHeight","FD","CRugos","MADHeight","FHD","CANCOV","Hght_Max","outlier","SI","BEC","AOI","year","IMAT","Stand_Age","Productivity","Age_Productivity","Old_prod","ogi_cluster","BECsubzone","BECzone","PC1","PC2","PC3"
"1","01001 G000011",2005,-0.61425857669155,0.412462226982366,-0.142210800264786,0.0273749630068071,-0.698207540182209,-0.265723148507173,-0.525902368310285,-0.00600762844986107,-0.380872417187859,-0.117710693669367,-0.183164705528253,-0.368081494057725,0.706081691919578,0.431010162286532,-1.1861370143319,0.0024840036386765,-0.0507917365849581,-0.722407975786913,0.00753273182986051,0.704079063763987,0.38880332665948,FALSE,1.03553031747756,"CWHvm1","AOI",2019,-0.47651509768104,"70 - 140yrs","High-Prod","High-Prod_70 - 140yrs","70 - 140yrs","Moderate","CWHvm","CWH",-0.89887915475876,0.174735463138625,0.896107417041436
"2","01001 G000517",2001,-0.601394284131824,0.322312986321827,1.1270468394447,-0.660698431488606,-0.703528559400027,-1.03734005428461,-0.135390326359547,-0.433905311783551,-0.480558249683132,-0.577612247929853,-0.638704483015876,-0.368081494057725,3.64987614260115,-1.16529026445353,0.0318573703628947,-1.11421113270598,-1.09660065067689,-0.425320375043,0.15680108552257,0.025060632234545,-0.846373017095333,FALSE,-0.353273730156268,"CWHvm1","AOI",2023,-0.714048934705705,"70 - 140yrs","High-Prod","High-Prod_70 - 140yrs","70 - 140yrs","Low","CWHvm","CWH",-2.21873167604079,0.403784251132048,2.22437938157796
"3","01001 G000518",2001,-0.595181042977624,0.412462226982366,0.647881196304846,-0.505327019828351,-0.8733997082496,-0.690306320279178,-0.00134937261108619,-0.43147586210473,-0.296800970918093,-0.229795727831373,-0.601669969182513,-0.368081494057725,2.78281704440533,-0.589287433064852,-1.38503270296389,-0.3095774724988,-0.536595517560608,-0.871852989597284,-0.201272350583583,0.734169683162489,-0.0778530725396578,FALSE,0.237775204388784,"CWHvm1","AOI",2023,-0.577506569152604,"70 - 140yrs","High-Prod","High-Prod_70 - 140yrs","70 - 140yrs","Moderate","CWHvm","CWH",-1.71422305910827,0.486221106420465,1.90461801693232
"4","01001 G000519",2004,-0.842971732902701,0.335656288316295,-1.3983356425007,-2.28839893459603,-0.761436822204679,-1.52977898410237,-1.93656705941958,-1.78325943985384,-0.489314008475097,-0.639583181076275,-1.05383788734537,-0.368081494057725,-0.977503044221913,-1.89663907195284,0.826497893805772,1.06250577742863,-1.22027785163547,-1.45448512574729,-0.488813229542818,-3.81672185650432,-2.06999845987987,FALSE,-0.241009087886513,"CWHvm1","AOI",2019,-1.71325154379227,"<70yrs","High-Prod","High-Prod_<70yrs","<70yrs","Low","CWHvm","CWH",-3.55402801898157,-1.3774529762053,0.0208271491821942
"6","01001 R000507",1992,-0.492874825757315,0.412462226982366,0.120342343109385,-0.157591003255401,-1.31544576944918,-0.763978286157425,0.769071112863084,0.699153399604831,-0.489314008475097,-0.451204416432465,-0.327739120411384,-0.368081494057725,1.17727951654866,-1.18635874553197,-1.61004157810817,-0.914785567129096,-0.74560061263305,-0.946782159831172,-2.4325241971229,0.739744158745504,0.284845217926999,FALSE,0.789487385913576,"CWHvm1","AOI",2019,-0.552347852621342,"70 - 140yrs","High-Prod","High-Prod_70 - 140yrs","70 - 140yrs","Moderate","CWHvm","CWH",-0.860565942550477,1.17818288782575,1.67348576602517
"7","01003AG000505",2004,-0.763761767187744,0.412462226982366,-1.65364583333333,-2.05164249778041,-0.851887262571127,-1.45416828227995,-1.62573940329529,-1.3440334289265,-0.489314008475097,-0.636997941038029,-1.04421839317548,-0.368081494057725,-0.72332891647163,-1.80667961942455,0.514926837045188,0.934730320856816,-1.39409172153339,-1.49038418575013,-1.98031582325295,-3.52848814424991,-2.20167873094101,FALSE,-1.13663692785105,"CWHvm1","AOI",2019,-1.63938257172461,"<70yrs","Low-Prod","Low-Prod_<70yrs","<70yrs","Low","CWHvm","CWH",-3.2989518627266,-0.935771682805871,0.164163082733122
"8","01003AG000508",2004,-0.831014585064972,0.327514563786143,-1.3783232090776,-2.17741935483871,-0.861158432708688,-1.49100426521908,-1.71618486947092,-1.56837120757049,-0.489314008475097,-0.639583181076275,-1.05260435182679,-0.368081494057725,-0.996606312354066,-1.74020785956379,0.839890915471508,0.654802415611106,-1.36396794094715,-1.42746770707959,-0.372022593962348,-3.51658416215591,-2.04920683813337,FALSE,-0.123622444031918,"CWHvm1","AOI",2023,-1.66454252132895,"<70yrs","High-Prod","High-Prod_<70yrs","<70yrs","Low","CWHvm","CWH",-3.37179459231649,-1.15233474623089,0.0895955658200034
"9","01003AG000509",2004,-0.835250599889441,0.412462226982366,-1.65364583333333,-2.27360165729506,-0.878631022583322,-1.53559519193486,-1.9140707081016,-1.84280425663734,-0.489314008475097,-0.639583181076275,-1.05375059832978,-0.368081494057725,-0.986110461232716,-2.01879673806933,0.976775512897031,1.21275408655442,-1.33414452366852,-1.40898775021689,-1.84070193544798,-3.73967021121194,-2.21862005236408,FALSE,-0.303765377368946,"CWHvm1","AOI",2019,-1.76089209479509,"<70yrs","High-Prod","High-Prod_<70yrs","<70yrs","Low","CWHvm","CWH",-3.59735114736324,-1.36231441879969,0.0680125868349372
"10","01003AG000511",2004,-0.811033228794245,0.242637721696373,0.166981196851258,-1.9924533885765,-0.327864602622028,-1.40763861962001,-1.45310687799471,-1.00904275741943,-0.489314008475097,-0.639583181076275,-1.04186746814272,-0.368081494057725,-0.392889968829395,-0.767954943471156,0.0492895698785423,0.505851419153531,-1.0787117280421,-1.14411141884201,-0.389992732705735,-0.111840692823898,-1.49861389188357,FALSE,-0.0587577576304999,"CWHvm1","AOI",2019,-1.26493387196387,"<70yrs","High-Prod","High-Prod_<70yrs","<70yrs","Low","CWHvm","CWH",-2.86715994556776,-0.867825803789049,0.331972108516254
"11","01003AG000512",2004,-0.797362899085211,0.369221836351196,-1.3270414267237,-2.19221663213969,-0.10611605358908,-1.43865839472664,-1.39152820021455,-1.49825383190818,-0.489314008475097,-0.639583181076275,-1.04266604094019,-0.368081494057725,-0.446423345057839,-2.1314464522715,0.422422898532562,0.491570134659837,-1.41974703606153,-1.60911828439162,-1.9927395438129,-4.43044869381415,-2.33874942245495,FALSE,-0.926113424426466,"CWHvm1","AOI",2019,-1.49608505997493,"<70yrs","Low-Prod","Low-Prod_<70yrs","<70yrs","Low","CWHvm","CWH",-3.27916356685884,-0.957019650833079,-0.162726176720199
